doc_template_code,biz_category,biz_system,sales_type,biz_process,biz_event,account_event_category,account_event,text_kor,text_eng,is_active,biz_event_order,document_type,processing_type,order_item_status,charge_status,contract_status,service_flow_status,logistics_status
OLEASE_RECEIVABLE_OVERDUE,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,RECEIVABLES,RECEIVABLES_OVERDUE,ACCOUNT_RECEIVABLE,CUSTOMER_BILLING,[운용리스:채권] 연체,,N,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_RECEIVABLE_BREACHED_CONTRACT_REGISTERED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,RECEIVABLES,BREACHED_CONTRACT_REGISTERED,RENTAL_ASSET,RENTAL_ASSET_IMPAIRMENT,[운용리스:채권] 가해약 등록 - 렌탈자산 손상처리,,Y,2,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_RECEIVABLE_BREACHED_CONTRACT_CANCELLED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,RECEIVABLES,BREACHED_CONTRACT_CANCELLED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,[운용리스:채권] 가해약 취소,,Y,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_RECEIVABLE_TRANSFER_TO_COLLECTION,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,RECEIVABLES,TRANSFER_TO_COLLECTION,ACCOUNT_RECEIVABLE,TRANSFER_TO_COLLECTION,[운용리스:채권] 추심전환,,N,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_RECEIVABLE_COLLECTION_RECOVERED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,RECEIVABLES,COLLECTION_RECOVERED,ACCOUNT_RECEIVABLE,RECEIVABLES_COLLECTION,[운용리스:채권] 추심회수,,N,5,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_AS_REPAIR,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,AFTER_SERVICE,AS_REPAIR,,,[운용리스:AS] 수리-단순방문,,N,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_AS_REPAIR_REPLACEMENT_PART,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,AFTER_SERVICE,AS_REPAIR,,,[운용리스:AS] 수리-부품교체,,N,2,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_AS_RELOCATION,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,AFTER_SERVICE,AS_RELOCATION,,,[운용리스:AS] 이사,,N,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_AS_REINSTALL,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,AFTER_SERVICE,AS_REINSTALL,,,[운용리스:AS] 이전설치,,N,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_AS_DISMANTLING,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,AFTER_SERVICE,AS_DISMANTLING,,,[운용리스:AS] 해체,,N,5,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_ORDER_RECEIVED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,ORDER,ORDER_RECEIVED,,,[금융리스] 주문접수,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_PRODUCT_SHIPPED,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,ORDER,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,[금융리스] 제품출고,,Y,2,GOODS_ISSUE,AUTO,,,,,
FLEASE_GOODS_SALES_RECOGNITION,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,ORDER,INSTALLATION_COMPLETED,REVENUE,REVENUE_RECOGNITION,[금융리스] 설치완료-재화매출 인식,,Y,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_COGS_RECOGNITION,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,ORDER,INSTALLATION_COMPLETED,COGS,COGS_RECOGNITION,[금융리스] 설치완료-매출원가 인식,,Y,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
FLEASE_INVENTORY_PRICE_DIFFERENCE,CUSTOMER,FINANCIAL_LEASE,FINANCIAL_LEASE,ORDER,INSTALLATION_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,[금융리스] 설치완료-재고가액 확정,,Y,6,ACCOUNTING_DOCUMENT,AUTO,,,,,
